ERV-ARB,2017-04,1
ERV-AWA,2016-12,2
ERV-AWA,2017-01,7
ERV-AWA,2017-02,2
ERV-AWA,2017-03,4
ERV-AWA,2017-04,6
ERV-AWA,2017-05,4
ERV-AWA,2017-06,6
ERV-BEN,2016-12,5
ERV-BEN,2017-01,1
ERV-BEN,2017-02,2
ERV-BEN,2017-03,20
ERV-BEN,2017-04,13
ERV-BEN,2017-05,5
ERV-BEN,2017-06,4
ERV-BUL,2016-12,3
ERV-BUL,2017-01,4
ERV-BUL,2017-02,6
ERV-BUL,2017-03,10
ERV-BUL,2017-04,6
ERV-BUL,2017-05,2
ERV-BUL,2017-06,7
ERV-CMN,2016-12,2
ERV-CMN,2017-01,1
ERV-CMN,2017-02,8
ERV-CMN,2017-03,11
ERV-CMN,2017-04,7
ERV-CMN,2017-05,4
ERV-CMN,2017-06,3
ERV-ENG,2017-01,7
ERV-ENG,2017-02,3
ERV-ENG,2017-03,2
ERV-ENG,2017-04,1
ERV-HIN,2016-12,1
ERV-HIN,2017-01,17
ERV-HIN,2017-02,6
ERV-HIN,2017-03,6
ERV-HIN,2017-04,7
ERV-HIN,2017-05,9
ERV-HIN,2017-06,10
ERV-HRV,2016-12,2
ERV-HRV,2017-01,2
ERV-HRV,2017-02,1
ERV-HRV,2017-04,1
ERV-HRV,2017-05,1
ERV-HRV,2017-06,3
ERV-HUN,2016-12,3
ERV-HUN,2017-01,5
ERV-HUN,2017-02,5
ERV-HUN,2017-03,1
ERV-HUN,2017-04,3
ERV-HUN,2017-05,1
ERV-HUN,2017-06,2
ERV-IND,2017-01,1
ERV-IND,2017-03,4
ERV-IND,2017-04,11
ERV-IND,2017-05,7
ERV-IND,2017-06,1
ERV-KAN,2017-01,8
ERV-KAN,2017-02,4
ERV-KAN,2017-03,5
ERV-KAN,2017-04,8
ERV-KAN,2017-05,5
ERV-KAN,2017-06,3
ERV-MAR,2017-01,1
ERV-MAR,2017-02,2
ERV-MAR,2017-04,4
ERV-MAR,2017-05,2
ERV-MAR,2017-06,6
ERV-NEP,2017-01,2
ERV-NEP,2017-02,9
ERV-NEP,2017-03,6
ERV-NEP,2017-04,4
ERV-NEP,2017-05,4
ERV-NEP,2017-06,6
ERV-ORI,2016-12,1
ERV-ORI,2017-01,2
ERV-ORI,2017-02,4
ERV-ORI,2017-03,4
ERV-ORI,2017-04,2
ERV-ORI,2017-05,4
ERV-ORI,2017-06,13
ERV-PAN,2016-12,1
ERV-PAN,2017-02,1
ERV-PAN,2017-04,1
ERV-PAN,2017-05,1
ERV-PAN,2017-06,4
ERV-POR,2016-12,1
ERV-POR,2017-01,1
ERV-POR,2017-02,3
ERV-POR,2017-03,3
ERV-POR,2017-04,5
ERV-POR,2017-05,2
ERV-POR,2017-06,2
ERV-RUS,2016-12,1
ERV-RUS,2017-01,5
ERV-RUS,2017-02,2
ERV-RUS,2017-03,1
ERV-RUS,2017-04,5
ERV-RUS,2017-05,3
ERV-RUS,2017-06,1
ERV-SPA,2016-12,3
ERV-SPA,2017-01,11
ERV-SPA,2017-02,10
ERV-SPA,2017-03,13
ERV-SPA,2017-04,16
ERV-SPA,2017-05,8
ERV-SPA,2017-06,3
ERV-SRP,2016-12,1
ERV-SRP,2017-01,3
ERV-SRP,2017-04,1
ERV-SRP,2017-05,1
ERV-TAM,2017-01,18
ERV-TAM,2017-02,14
ERV-TAM,2017-03,29
ERV-TAM,2017-04,20
ERV-TAM,2017-05,25
ERV-TAM,2017-06,21
ERV-THA,2016-12,1
ERV-THA,2017-01,1
ERV-THA,2017-02,1
ERV-THA,2017-03,9
ERV-THA,2017-06,3
ERV-UKR,2017-01,1
ERV-UKR,2017-04,2
ERV-UKR,2017-05,1
ERV-URD,2017-01,3
ERV-URD,2017-02,1
ERV-URD,2017-03,3
ERV-URD,2017-04,2
ERV-URD,2017-05,2
ERV-URD,2017-06,6
ERV-VIE,2017-02,1
ERV-VIE,2017-03,1
ERV-VIE,2017-05,2
